id,month,abg_sku,rip_code,upc,brand,valid_from,valid_to,description,tier1_unit,tier1_qty,tier1_rebate,tier2_unit,tier2_qty,tier2_rebate,comments
62504,2026-04,2326040,108701,80686345404,463449,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62505,2026-04,2328031,108701,80686310112,647801,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62506,2026-04,2328040,108701,80686353409,647801,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62507,2026-04,2331030,108701,80686363200,456496,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62508,2026-04,2331040,108701,80686363408,456496,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62509,2026-04,2335030,108701,80686396208,461071,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62510,2026-04,2335031,108701,80686396208,461071,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62511,2026-04,2335040,108701,80686396406,461071,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62512,2026-04,2337030,108701,80686397205,465445,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62513,2026-04,2339040,108701,80686393405,461078,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62514,2026-04,2343030,108701,80686373209,477963,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62515,2026-04,2343040,108701,80686373407,477963,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62516,2026-04,2344030,108701,80686347019,465448,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62517,2026-04,2344040,108701,80686347033,465448,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62518,2026-04,2348030,108701,80686319207,460487,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62519,2026-04,2348040,108701,80686319436,460487,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62520,2026-04,2349030,108701,80686317203,631789,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62521,2026-04,2354021,108701,80686395126,461069,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62522,2026-04,2354030,108701,80686395201,461069,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62523,2026-04,2354040,108701,80686395409,461069,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62524,2026-04,2354060,108701,80686395607,461069,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62525,2026-04,2361030,108701,80686315018,461080,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
